Dia,TELEVISA,CEMEX,Dow Jones Mexico,BIMBO
437,16.2,10.51,3637.73,92.47
438,16.73,10.4,3642.9,93.07
439,16.72,10.37,3649.16,92.46
440,16.9,10.47,3628.36,93.07
441,17.04,10.63,3635.7,90.73
442,17.7,10.65,3669.75,90.93
443,18.31,10.84,3665.8,92.25
444,18.48,10.79,3638.61,90.38
445,18.75,10.74,3633.61,91.58
446,18.41,10.19,3616.58,90.95
447,19.36,10.04,3638.68,91.95
448,18.89,9.82,3656.08,90.84
449,17.89,9.58,3656.39,90.4
450,18.3,9.77,3657.36,90.82
451,17.84,9.75,3614.95,90.14
452,18.11,9.89,3587.35,90.68
453,18.34,9.79,3607.72,91.89
454,17.79,9.7,3631.35,89.75
455,16.99,9.35,3597.97,88.44
456,16.81,9.22,3605.31,88.38
457,16.56,9.24,3604.36,87.17
458,16.37,9.43,3612.89,87.12
459,16.38,9.33,3637.09,87.62
460,16.57,9.32,3621.01,88.12
461,16.38,9.18,3639.39,88.39
462,16.47,9.3,3615.7,86.12
463,16.64,9.2,3630.97,85.34
464,16.65,9.37,3596.59,85.11
465,16.96,9.44,3557.83,85.02
466,17.01,9.25,3557.83,83.85
467,17.54,9.59,3557.71,86.11
468,18.05,9.66,3601.58,86.62
469,18.24,9.62,3584.17,86.29
470,18.66,9.96,3586.86,88.34
471,18.47,10.13,3606.8,88.07
472,18.04,9.8,3588.45,87.89
473,17.54,9.38,3547.95,86.98
474,17.39,9.16,3524.79,86.85
475,18.26,8.97,3518.7,89.63
476,17.91,8.89,3520.73,88.2
477,19.91,9.09,3500.59,87.26
478,19.77,9.05,3507.57,86.48
479,19.55,9.15,3462.54,87.92
480,20.73,9.45,3462.61,89.29
481,20.39,9.42,3504.67,87.4
482,20.52,9.61,3476.49,89.05
483,20.31,9.81,3518.34,89.34
484,20.3,9.65,3537.56,89.07
485,20.7,9.76,3523.7,89.61
486,20.11,9.67,3566.11,88.84
487,20.28,9.85,3561.28,90.08
488,20.71,9.95,3541.89,91.01
489,20.76,9.92,3599.35,91.15
490,22.26,10.28,3615.94,93.9
491,22.58,10.26,3560.54,92.95
492,22.97,10.25,3570.47,94.1
493,21.87,10.04,3523.2,94.02
494,21.14,9.94,3539.51,94.36
495,21.34,10.06,3515.7,94.7
496,21.39,9.97,3540.05,95.77
497,21.07,9.57,3546.02,95.53
498,20.87,9.5,3549.9,95.53
499,21.2,9.44,3592.7,94.66
500,20.85,9.4,3582.08,91.69
501,20.68,9.27,3596.23,92.66
